service_id,date,exception_type
OP42FV,20260731,1
OP42VNF,20260731,1
OP43FV,20260731,1
OP44FPV,20260731,1
OP9FV,20260731,1
PRUEBA,20260731,1
OP40SV,20260801,1
OP41SV,20260801,1
OP42SV,20260801,1
OP43SV,20260801,1
OP44SVA,20260801,1
OP9SVA,20260801,1
PRUEBA,20260801,1
OP40FV,20260802,1
OP41FV,20260802,1
OP42FV,20260802,1
OP43FV,20260802,1
OP44FPV,20260802,1
OP9FVA,20260802,1
PRUEBA,20260802,1
OP40LV,20260803,1
OP41LJV,20260803,1
OP42LJV,20260803,1
OP43LVA,20260803,1
OP44LVA,20260803,1
OP9LV,20260803,1
PRUEBA,20260803,1
OP40LV,20260804,1
OP41LJV,20260804,1
OP42LJV,20260804,1
OP43LVA,20260804,1
OP44LVA,20260804,1
OP9LV,20260804,1
PRUEBA,20260804,1
OP40LV,20260805,1
OP41LJV,20260805,1
OP42LJV,20260805,1
OP43LVA,20260805,1
OP44LVA,20260805,1
OP9LV,20260805,1
PRUEBA,20260805,1
OP40LV,20260806,1
OP41LJV,20260806,1
OP42LJV,20260806,1
OP43LVA,20260806,1
OP44LVA,20260806,1
OP9LV,20260806,1
PRUEBA,20260806,1
OP40LV,20260807,1
OP41VV,20260807,1
OP42VV,20260807,1
OP43LVA,20260807,1
OP44LVA,20260807,1
OP9LV,20260807,1
PRUEBA,20260807,1
OP40SV,20260808,1
OP41SV,20260808,1
OP42SV,20260808,1
OP43SV,20260808,1
OP44SVA,20260808,1
OP9SVA,20260808,1
PRUEBA,20260808,1
OP40FV,20260809,1
OP41FV,20260809,1
OP42FV,20260809,1
OP43FV,20260809,1
OP44FPV,20260809,1
OP9FVA,20260809,1
PRUEBA,20260809,1
OP40LV,20260810,1
OP41LJV,20260810,1
OP42LJV,20260810,1
OP43LVA,20260810,1
OP44LVA,20260810,1
OP9LV,20260810,1
PRUEBA,20260810,1
OP40LV,20260811,1
OP41LJV,20260811,1
OP42LJV,20260811,1
OP43LVA,20260811,1
OP44LVA,20260811,1
OP9LV,20260811,1
PRUEBA,20260811,1
OP40LV,20260812,1
OP41LJV,20260812,1
OP42LJV,20260812,1
OP43LVA,20260812,1
OP44LVA,20260812,1
OP9LV,20260812,1
PRUEBA,20260812,1
OP40LV,20260813,1
OP41LJV,20260813,1
OP42LJV,20260813,1
OP43LVA,20260813,1
OP44LVA,20260813,1
OP9LV,20260813,1
PRUEBA,20260813,1
OP40LV,20260814,1
OP41VV,20260814,1
OP42VV,20260814,1
OP43LVA,20260814,1
OP44LVA,20260814,1
OP9LV,20260814,1
PRUEBA,20260814,1
OP40FV,20260815,1
OP41FV,20260815,1
OP41VFV,20260815,1
OP42FV,20260815,1
OP42VNF,20260815,1
OP43FV,20260815,1
OP44FPV,20260815,1
OP9FVA,20260815,1
PRUEBA,20260815,1
OP40FV,20260816,1
OP41FV,20260816,1
OP42FV,20260816,1
OP43FV,20260816,1
OP44FPV,20260816,1
OP9FVA,20260816,1
PRUEBA,20260816,1
OP40LV,20260817,1
OP41LJV,20260817,1
OP42LJV,20260817,1
OP43LVA,20260817,1
OP44LVA,20260817,1
OP9LV,20260817,1
PRUEBA,20260817,1
OP40LV,20260818,1
OP41LJV,20260818,1
OP42LJV,20260818,1
OP43LVA,20260818,1
OP44LVA,20260818,1
OP9LV,20260818,1
PRUEBA,20260818,1
OP40LV,20260819,1
OP41LJV,20260819,1
OP42LJV,20260819,1
OP43LVA,20260819,1
OP44LVA,20260819,1
OP9LV,20260819,1
PRUEBA,20260819,1
OP40LV,20260820,1
OP41LJV,20260820,1
OP42LJV,20260820,1
OP43LVA,20260820,1
OP44LVA,20260820,1
OP9LV,20260820,1
PRUEBA,20260820,1
OP40LV,20260821,1
OP41VV,20260821,1
OP42VV,20260821,1
OP43LVA,20260821,1
OP44LVA,20260821,1
OP9LV,20260821,1
PRUEBA,20260821,1
OP40BSSG,20260822,1
OP40SV,20260822,1
OP41BSSG,20260822,1
OP42BSSG,20260822,1
OP42SVAN,20260822,1
OP43SV,20260822,1
OP44BSSG,20260822,1
OP9SVA,20260822,1
PRUEBA,20260822,1
OP40BFSG,20260823,1
OP40FV,20260823,1
OP41BFSG,20260823,1
OP42BFSG,20260823,1
OP42FV,20260823,1
OP43FV,20260823,1
OP44BFSG,20260823,1
OP44FPV,20260823,1
OP9FVA,20260823,1
PRUEBA,20260823,1
OP40BLSG,20260824,1
OP40LV,20260824,1
OP41BLSG,20260824,1
OP42BLSG,20260824,1
OP42LJV,20260824,1
OP43LVA,20260824,1
OP44BLSG,20260824,1
OP9LV,20260824,1
PRUEBA,20260824,1
OP40BLSG,20260825,1
OP40LV,20260825,1
OP41BLSG,20260825,1
